City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
338,Bubaque,GW,1666735664,11.2833,-15.8333,84.79,74,25,8.68
339,Shevchenkove,UA,1666735664,49.6959,37.1735,49.84,93,100,8.12
340,Tahe,CN,1666735665,52.3333,124.7333,25.97,66,89,5.53
341,Safakulevo,RU,1666735665,54.9901,62.5442,30.61,73,100,9.89
342,Benidorm,ES,1666735665,38.5382,-0.131,69.89,51,98,4.94
343,Kismayo,SO,1666735666,-0.3582,42.5454,77.58,86,66,11.7
344,Deputatsky,RU,1666735666,69.3,139.9,12.02,88,100,8.59
345,Necochea,AR,1666735666,-38.5473,-58.7368,60.84,83,100,12.21
346,Bereket,TM,1666735667,39.2446,55.5154,55.42,67,0,2.73
347,Atar,MR,1666735524,20.5169,-13.0499,89.37,12,99,5.46
348,Catia La Mar,VE,1666735667,10.6038,-67.0303,86.2,70,20,6.71
349,Vila Franca do Campo,PT,1666735667,37.7167,-25.4333,64.81,69,100,10.42
350,Natá,PA,1666735668,8.3333,-80.5167,80.02,86,100,5.7
351,Mishawaka,US,1666735474,41.662,-86.1586,63.01,95,100,11.5
352,Narsaq,GL,1666735668,60.9167,-46.05,26.82,73,1,6.8
353,Salalah,OM,1666735627,17.0151,54.0924,75.29,64,0,3.44
